cid,vp_alone_vp,mrnfirst_vp,mrnfirst_mrn,vpfirst_vp,vpfirst_mrn,numOps,ipc_base,ipc_vtage,ipc_mrnfirst,ipc_vpfirst
729.abc_r.1.2,13831336,8621299,5372154,13830563,205440,54459796,1.283829,1.2955,1.291002,1.299094
729.abc_r.1.3,10454004,4551216,6327475,10446826,457760,51449788,2.452656,2.476202,2.427131,2.42682
729.abc_r.1.4,9015015,3725439,5960830,8998089,715151,52370538,2.071908,2.093874,2.073817,2.070267
729.abc_r.2.0,8711012,4993009,4461555,8720158,705039,52708032,1.499891,1.542071,1.543263,1.542609
729.abc_r.2.1,7011173,3061263,4311539,7037004,345964,51890269,1.489545,1.520259,1.523792,1.523571
729.abc_r.2.2,14351306,6519993,8212853,14358548,381692,54381108,1.54073,1.762125,1.734876,1.728297
729.abc_r.2.3,6068909,3121855,3499719,6070796,547790,51309615,1.341979,1.365493,1.363412,1.363928
729.abc_r.2.4,12841119,10781555,2579212,12848148,520036,55259597,1.609534,1.638372,1.629138,1.628425
731.astcenc_r.0.0,1352431,1290800,119035,1341172,72253,51206449,2.512288,2.501918,2.494342,2.490995
731.astcenc_r.0.1,1186441,1158903,110632,1196941,73264,51175701,2.523975,2.52784,2.508246,2.511615
731.astcenc_r.0.3,1282513,1226336,129256,1271394,77243,51979463,2.279204,2.275284,2.269474,2.274007
731.astcenc_r.1.0,1321019,1287137,142930,1328972,81986,51399677,2.544506,2.537948,2.520165,2.52594
731.astcenc_r.1.1,1138716,1111119,103417,1143810,58349,51678459,2.280864,2.281495,2.274232,2.271422
731.astcenc_r.1.2,898259,863317,177333,892776,144306,52752024,1.937184,1.935458,1.931545,1.933579
731.astcenc_r.1.3,1227524,1188695,80814,1224850,50048,51330813,2.556502,2.545814,2.548794,2.539709
731.astcenc_r.2.0,2162382,2042001,249990,2129310,129302,52580424,1.969042,1.96633,1.965724,1.965011
731.astcenc_r.2.2,1523410,1436951,142699,1498340,76939,52180534,2.136888,2.132769,2.129871,2.13154
734.vpr_r.0.1,14384945,6974991,8578702,14442043,1046437,54114424,0.709177,0.742457,0.73702,0.744331
734.vpr_r.0.2,7276093,3673099,4776326,7207064,1319892,53325499,2.226288,2.252853,2.139755,2.169289
734.vpr_r.0.3,20901887,10534420,12354114,20877484,1978669,51022002,1.856914,1.878341,1.846809,1.847816
734.vpr_r.0.4,11311533,9469343,2115299,11252228,320838,65875873,1.5435,1.556795,1.562918,1.081285
734.vpr_r.1.2,18967033,13895406,5378364,18907762,418113,57320117,1.379577,1.434725,1.407702,1.405377
734.vpr_r.1.3,18488142,13436617,5323944,18447188,287617,56871597,1.079238,1.130309,1.122344,1.11965
734.vpr_r.1.4,20662971,9420810,12704465,20657753,1484017,51201976,1.830423,1.840227,1.809607,1.805898
734.vpr_r.2.0,8242717,5595954,3230229,8214087,620088,66864131,0.659457,0.662024,0.609174,0.642344
734.vpr_r.2.1,15560699,7224706,8917251,15549147,519800,54361412,0.701032,0.730396,0.732352,0.73046
734.vpr_r.2.3,3001459,2201446,813420,3001931,13780,51813016,2.353941,2.12876,2.132756,2.131409
735.gem5_r.0.0,5644044,5298056,485021,5617342,161947,59174783,1.29316,1.310676,1.311403,1.311211
735.gem5_r.1.1,11275956,10182697,1285181,11348906,270859,59614994,1.221133,1.25148,1.251015,1.252401
735.gem5_r.1.2,13954169,12654763,1399792,13893837,188019,59584058,1.32994,1.356035,1.35467,1.355903
735.gem5_r.2.1,4763613,3762371,1625049,4745345,594969,58816525,1.319384,1.324866,1.322109,1.32055
736.ocio_r.0.1,2145398,70983,3110900,2143900,1134593,51621786,1.986717,1.966424,1.964504,1.970691
736.ocio_r.0.2,2144873,71847,3112230,2153708,1124906,51621770,2.21817,2.201681,2.184567,2.193648
736.ocio_r.0.4,4168183,600339,4390257,4178706,834120,51755951,2.317448,2.321849,2.295447,2.289683
736.ocio_r.1.2,25622,21775,6173,25968,1980,54232775,1.927961,1.930704,1.923339,1.923339
736.ocio_r.2.0,13986595,11482336,2509091,13986590,5311,54105602,2.423407,2.481262,2.48245,2.49534
736.ocio_r.2.1,15075412,12483502,2593326,15071201,1918,54042240,2.363762,2.487437,2.644201,2.642507
736.ocio_r.2.3,6868349,6627779,244060,6870429,1410,54095352,2.605197,2.588748,2.587425,2.587425
736.ocio_r.2.4,6871964,6540852,377118,6849861,61893,54502859,2.523934,2.523925,2.528215,2.523277
737.gmsh_r.0.0,18513678,14883597,3911514,18471210,288870,58339069,1.897316,1.949087,1.948153,1.947607
737.gmsh_r.0.1,5650338,4289457,1396006,5689503,26657,56379164,0.790022,0.815309,0.819372,0.816734
737.gmsh_r.0.2,13377934,8739705,4514954,13385815,236832,52380164,0.910845,0.945492,0.942527,0.948321
737.gmsh_r.1.0,11071595,9378521,2015618,11041196,368832,55594108,1.678506,1.780558,1.782591,1.781115
737.gmsh_r.1.1,7620384,6450377,1440719,7630565,226976,63952923,2.286248,2.295355,2.273617,2.277108
737.gmsh_r.1.2,8290229,7130575,1347292,8341941,134386,63704450,1.958117,2.202082,2.149926,2.167187
737.gmsh_r.1.3,72,80,890,80,890,54004740,0.575573,0.574985,0.57421,0.57421
737.gmsh_r.2.0,19838024,15557686,4424806,19851519,145340,59257164,1.535262,1.578993,1.582565,1.582388
737.gmsh_r.2.2,9492068,8610368,1298423,9467057,376758,61191738,0.591418,0.601118,0.602259,0.60172
748.flightdm_r.0.0,9203966,8715523,1195023,9370708,480302,59326724,1.43365,1.47031,1.478912,1.479639
748.flightdm_r.0.1,8678515,8089533,1180559,8633062,493692,59305295,1.430368,1.463463,1.46641,1.469239
748.flightdm_r.0.2,9353681,8659489,1184730,9511865,449590,59292825,1.441687,1.483771,1.479038,1.482113
748.flightdm_r.0.3,9317780,8656312,1190741,9359169,455577,59303434,1.445815,1.484875,1.489031,1.491397
748.flightdm_r.1.0,9272971,8156454,1510237,9126190,609866,59137810,1.408892,1.45505,1.45529,1.450598
748.flightdm_r.1.2,6812661,6042279,1366602,6728217,643028,59098954,1.382773,1.41595,1.414913,1.421249
748.flightdm_r.2.0,7768912,6929569,1669928,7638234,755394,59174509,1.417071,1.446185,1.445824,1.436902
748.flightdm_r.2.1,7639752,6513167,1692011,7585716,741911,59252001,1.408971,1.428735,1.433226,1.437916
748.flightdm_r.2.2,7895812,6859658,1672839,7660935,812387,59214564,1.398191,1.435241,1.441277,1.443585
748.flightdm_r.2.3,7767400,6743860,1694513,7835689,742900,59314613,1.400686,1.431703,1.430062,1.426894
749.fotonik3d_r.0.0,1142204,713003,344850,1057115,738,54351375,0.744417,0.743927,0.744805,0.744805
749.fotonik3d_r.0.1,5390116,4860888,719918,5394731,191613,63427290,1.222589,1.21962,1.221857,1.219861
749.fotonik3d_r.0.2,996207,710796,297206,980203,24400,56409735,0.942998,0.940065,0.940956,0.93862
749.fotonik3d_r.0.3,4885903,4402014,717562,4898699,221062,63426870,1.208528,1.213609,1.210279,1.207711
749.fotonik3d_r.0.4,961912,757674,221575,978089,1160,54693495,0.700436,0.70087,0.700503,0.700503
750.sealcrypto_r.0.0,7802315,4324191,3522986,7807899,45509,51982825,3.279269,3.293906,3.287556,3.28863
750.sealcrypto_r.0.1,13423626,10983923,2456352,13422124,19892,53857266,2.981715,3.043564,3.043554,3.046159
750.sealcrypto_r.0.2,9695403,6716454,3022846,9688017,58868,52096765,3.018768,3.043244,3.048038,3.043498
750.sealcrypto_r.0.3,10462427,7000891,3526597,10465254,72524,52014846,3.089702,3.115051,3.119743,3.112381
753.ns3_r.0.0,6665392,5886193,1109858,6659808,341599,58857585,1.588583,1.586732,1.583089,1.584214
753.ns3_r.0.2,6864366,6185023,1073284,6923370,337440,58719231,1.633698,1.634316,1.636128,1.637977
753.ns3_r.1.0,4893507,4211951,847813,4904137,224214,60121231,1.158998,1.169021,1.167553,1.168407
753.ns3_r.1.1,4938330,4252728,829072,4764716,208581,60116867,1.22583,1.236953,1.235961,1.234529
753.ns3_r.1.3,4858361,4266036,845403,4856324,213550,60053046,1.21729,1.226539,1.226768,1.226676
753.ns3_r.1.4,4872870,4315170,844719,4829185,235325,60096612,1.22119,1.23003,1.229082,1.229696
753.ns3_r.2.0,3604855,3240528,659429,3693711,228852,60074566,1.26055,1.265544,1.266348,1.266663
753.ns3_r.2.1,4362629,3749699,935935,4351608,260993,60013972,1.179516,1.183788,1.184586,1.186602
753.ns3_r.2.2,4069042,3343515,1033290,4090373,270947,60057526,1.181742,1.18182,1.181324,1.178667
753.ns3_r.2.3,4141862,3443083,1036625,4245045,244603,59913243,1.204154,1.20408,1.204726,1.205933
765.roms_r.0.0,7641030,7625462,18830,7640503,3879,53222282,1.816119,1.824952,1.814614,1.813849
765.roms_r.0.1,908151,542640,386770,896733,27201,54826209,0.921652,0.920362,0.923661,0.923153
765.roms_r.0.2,273977,225826,52070,274310,3728,54689107,0.928936,0.929784,0.928751,0.92916
765.roms_r.0.3,2305650,1245470,1089601,2314728,42089,52290902,0.769946,0.772527,0.770082,0.768936
765.roms_r.0.4,664092,639376,41852,658951,20867,54300126,0.747254,0.750127,0.748777,0.749877
766.femflow_r.0.2,11139311,10801334,541432,11204703,130323,100439533,0.777597,0.778763,0.779037,0.778201
766.femflow_r.0.3,11548783,11044273,540654,11569192,122846,100604548,0.777909,0.776899,0.776793,0.774834
766.femflow_r.0.4,5448080,5301134,254541,5425353,141243,95040819,0.991365,0.994851,0.995516,0.991227
767.nest_r.0.0,30342014,24368150,6092356,30349609,113890,60229953,1.852986,1.994906,1.995383,2.020668
767.nest_r.0.2,13919013,9883330,4374768,13902470,359382,56484582,0.693591,0.731942,0.731049,0.728243
767.nest_r.0.3,20446213,14032673,6496410,20411026,236362,58235560,0.907049,0.944312,0.941153,0.943275
767.nest_r.1.0,15696721,13838454,1987687,15689359,151542,57034065,2.737369,2.720051,2.715385,2.713928
767.nest_r.1.1,19046113,13980393,5115565,19064125,121280,57087957,1.228584,1.270514,1.268828,1.279314
767.nest_r.1.2,18939577,13788275,5100954,18924837,98199,57065902,1.221689,1.312226,1.240976,1.237919
767.nest_r.2.0,21764672,16884885,5332070,21780395,445281,60778917,1.969685,2.082013,2.081581,2.069223
767.nest_r.2.1,21196851,15945887,5712547,21230554,431955,60526833,1.923781,2.051908,2.043641,2.048997
767.nest_r.2.2,23388327,15748090,8204689,23367289,595024,58294580,1.930757,2.103305,2.101945,2.104446
767.nest_r.2.3,21408633,17376883,4401704,21453402,347805,60891692,1.951982,2.049088,2.03793,2.050309
772.marian_r.0.0,684964,671449,14438,685811,76,50006052,3.163695,3.156798,3.171956,3.171956
772.marian_r.0.2,2828571,2665281,189597,2828904,26063,50595167,1.564734,1.584668,1.761136,1.567716
772.marian_r.1.0,631405,564698,67981,631579,1100,50504510,2.780912,2.786044,2.78848,2.78848
772.marian_r.1.1,682393,609332,73421,682026,727,50004918,3.101916,3.109077,3.10654,3.10654
772.marian_r.1.2,685761,611060,73451,683615,896,50006387,3.178989,3.187134,3.183539,3.183539
772.marian_r.1.3,1038106,904397,138149,1040960,1417,50748170,2.939504,2.899902,2.936526,2.952585
772.marian_r.1.4,358661,320689,29653,349758,584,51795197,2.427277,2.40321,2.419896,2.419896
777.zstd_r.0.1,5745846,5012199,1027934,5743268,299255,50733844,1.388064,1.385658,1.373232,1.379845
777.zstd_r.0.3,9998895,9503095,1180848,9984296,694306,60943458,1.721808,1.720117,1.715438,1.717462
777.zstd_r.1.0,10170961,8110721,2110032,10160639,106102,52070284,1.20073,1.203637,1.204493,1.197715
777.zstd_r.1.1,14178340,11021640,3099981,14068122,100937,53725703,1.369254,1.370094,1.366914,1.371424
777.zstd_r.1.2,10045033,8193778,1907333,10065029,83219,51798018,1.139053,1.155332,1.141874,1.141263
777.zstd_r.2.0,10372297,8812307,1640689,10360069,67442,51761498,1.74387,1.753956,1.757604,1.752842
777.zstd_r.2.2,9477559,8179850,1325513,9460298,53981,51464844,1.38721,1.4083,1.405919,1.40193
777.zstd_r.2.3,10362363,8602412,1783462,10360181,76577,52022334,1.190249,1.201684,1.199194,1.197733
777.zstd_r.2.4,10479265,8974122,1565561,10494642,67013,51847543,1.053645,1.068283,1.056786,1.062221
782.lbm_r.0.1,1341077,1297496,133007,1339466,92814,53302781,1.512095,1.517961,1.500531,1.517043
782.lbm_r.0.2,1341526,1299010,132890,1342458,91876,53304431,1.515828,1.516772,1.51137,1.536094
